Location,Address,Resolved Address,Wind Direction,Latitude,Cloud Cover,Minimum Temperature,Date time,Precipitation,Dew Point,Relative Humidity,id,Precipitation Cover,Longitude,Info,Temperature,Maximum Temperature,Visibility,Wind Speed,Heat Index,Weather Type,Snow Depth,Sea Level Pressure,Name,Wind Gust,Wind Chill
Golden,"Golden, CO","Golden, CO",40,,100,30.3,12/05/2018 20:00:00,,21.3,68.86,,,,,30.3,30.3,10,6.9,,,,,,,23.5
Golden,"Golden, CO","Golden, CO",340,,63.2,27.2,12/05/2018 21:00:00,,21.3,78.24,,,,,27.2,27.2,10,5.1,,,,,,,21.3
Golden,"Golden, CO","Golden, CO",15,,26.4,27.2,12/05/2018 22:00:00,,20.3,75.15,,,,,27.2,27.2,10,5.3,,,,,,,21.1
Golden,"Golden, CO","Golden, CO",10,,100,26.7,12/05/2018 23:00:00,,19.5,73.91,,,,,26.7,26.7,7,4.7,,Light Snow,,,,,21.2
Golden,"Golden, CO","Golden, CO",20,,100,24.9,12/06/2018 00:00:00,,17.7,73.72,,,,,24.9,24.9,7,5.8,,Light Snow,,,,,17.9
Golden,"Golden, CO","Golden, CO",30,,100,23.1,12/06/2018 01:00:00,,19.5,85.86,,,,,23.1,23.1,10,5.8,,Light Snow,,,,,15.8
Golden,"Golden, CO","Golden, CO",30,,100,23.1,12/06/2018 02:00:00,,19.5,85.86,,,,,23.1,23.1,10,4.7,,Light Snow,,,,,16.9
Golden,"Golden, CO","Golden, CO",,,100,23.1,12/06/2018 03:00:00,,19.5,85.86,,,,,23.1,23.1,10,,,Light Snow,,,,,
Golden,"Golden, CO","Golden, CO",30,,100,23.1,12/06/2018 04:00:00,,21.3,92.69,,,,,23.1,23.1,10,3.4,,Light Snow,,,,,18.7
Golden,"Golden, CO","Golden, CO",50,,100,23.1,12/06/2018 05:00:00,,21.3,92.69,,,,,23.1,23.1,4,4.7,,Light Snow,,,,,16.9
Golden,"Golden, CO","Golden, CO",75,,100,21.3,12/06/2018 06:00:00,,20,94.53,,,,,21.3,21.3,8.4,5.8,,Light Snow,,,,,13.7
Golden,"Golden, CO","Golden, CO",95,,100,21.3,12/06/2018 07:00:00,,19.5,92.63,,,,,21.3,21.3,10,5.5,,Light Snow,,,,,13.9
Golden,"Golden, CO","Golden, CO",89,,100,20,12/06/2018 08:00:00,,20,100,,,,,20,20,4,6,,Light Snow,,,,,11.9
Golden,"Golden, CO","Golden, CO",20,,100,23.1,12/06/2018 09:00:00,,21.3,92.69,,,,,23.1,23.1,5,3.4,,Light Snow,,,,,18.7
Golden,"Golden, CO","Golden, CO",150,,100,21.8,12/06/2018 10:00:00,,18.2,85.78,,,,,21.8,21.8,6.5,6,,Light Snow,,,,,14.1
Golden,"Golden, CO","Golden, CO",350,,100,23.1,12/06/2018 11:00:00,,21.3,92.69,,,,,23.1,23.1,7,4.7,,Light Snow,,,,,16.9
Golden,"Golden, CO","Golden, CO",10,,100,24.9,12/06/2018 12:00:00,,21.3,85.97,,,,,24.9,24.9,10,3.4,,,,,,,20.7
Golden,"Golden, CO","Golden, CO",340,,100,24.9,12/06/2018 13:00:00,,21.3,85.97,,,,,24.9,24.9,10,3.4,,,,,,,20.7
Golden,"Golden, CO","Golden, CO",320,,100,26.7,12/06/2018 14:00:00,,21.3,79.79,,,,,26.7,26.7,10,4.7,,,,,,,21.2
Golden,"Golden, CO","Golden, CO",330,,100,26.7,12/06/2018 15:00:00,,19.5,73.91,,,,,26.7,26.7,10,4.7,,,,,,,21.2
Golden,"Golden, CO","Golden, CO",345,,90,26.2,12/06/2018 16:00:00,,18.6,72.69,,,,,26.2,26.2,10,5.8,,,,,,,19.5
Golden,"Golden, CO","Golden, CO",350,,90,23.1,12/06/2018 17:00:00,,17.7,79.49,,,,,23.1,23.1,10,6.9,,,,,,,14.8
Golden,"Golden, CO","Golden, CO",350,,92.6,22.2,12/06/2018 18:00:00,,19.5,88.99,,,,,22.2,22.2,10,4.3,,,,,,,16.4
Golden,"Golden, CO","Golden, CO",,,100,24.9,12/06/2018 19:00:00,,19.5,79.64,,,,,24.9,24.9,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,63.2,22.2,12/06/2018 20:00:00,,18.2,84.08,,,,,22.2,22.2,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,100,24.9,12/06/2018 21:00:00,,19.5,79.64,,,,,24.9,24.9,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,100,23.1,12/06/2018 22:00:00,,19.5,85.86,,,,,23.1,23.1,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,100,24.9,12/06/2018 23:00:00,,21.3,85.97,,,,,24.9,24.9,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,90,23.1,12/07/2018 00:00:00,,19.5,85.86,,,,,23.1,23.1,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",360,,100,21.3,12/07/2018 01:00:00,,19.5,92.63,,,,,21.3,21.3,10,3.4,,,,,,,16.6
Golden,"Golden, CO","Golden, CO",320,,100,21.3,12/07/2018 02:00:00,,19.5,92.63,,,,,21.3,21.3,10,4.7,,,,,,,14.8
Golden,"Golden, CO","Golden, CO",,,100,23.1,12/07/2018 03:00:00,,19.5,85.86,,,,,23.1,23.1,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,50,23.1,12/07/2018 04:00:00,,19.5,85.86,,,,,23.1,23.1,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,50,21.3,12/07/2018 05:00:00,,19.5,92.63,,,,,21.3,21.3,7,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,50,21.3,12/07/2018 06:00:00,,19.5,92.63,,,,,21.3,21.3,7,,,,,,,,
Golden,"Golden, CO","Golden, CO",250,,,19.5,12/07/2018 07:00:00,,19.5,100,,,,,19.5,19.5,5,3.4,,Mist,,,,,14.6
Golden,"Golden, CO","Golden, CO",,,,21.3,12/07/2018 08:00:00,,19.5,92.63,,,,,21.3,21.3,5,,,Mist,,,,,
Golden,"Golden, CO","Golden, CO",,,,26.7,12/07/2018 09:00:00,,23.1,86.08,,,,,26.7,26.7,7,,,,,,,,
Golden,"Golden, CO","Golden, CO",10,,36.8,32.1,12/07/2018 10:00:00,,21.8,65.32,,,,,32.1,32.1,32.1,0.9,,,,,,,
Golden,"Golden, CO","Golden, CO",350,,22.1,35.2,12/07/2018 11:00:00,,20.9,55.61,,,,,35.2,35.2,32.1,5.2,,,,,,,30.7
Golden,"Golden, CO","Golden, CO",360,,,35.7,12/07/2018 12:00:00,,23.1,59.82,,,,,35.7,35.7,10,4.7,,,,,,,31.7
Golden,"Golden, CO","Golden, CO",,,,37.5,12/07/2018 13:00:00,,21.3,51.65,,,,,37.5,37.5,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",70,,,39.3,12/07/2018 14:00:00,,21.3,48.13,,,,,39.3,39.3,10,3.4,,,,,,,37.2
Golden,"Golden, CO","Golden, CO",115,,22.1,40.1,12/07/2018 15:00:00,,18.6,41.6,,,,,40.1,40.1,32.1,6,,,,,,,35.9
Golden,"Golden, CO","Golden, CO",350,,22.1,38.3,12/07/2018 16:00:00,,18.6,44.62,,,,,38.3,38.3,32.1,3.4,,,,,,,36.1
Golden,"Golden, CO","Golden, CO",350,,,32.3,12/07/2018 17:00:00,,17.3,53.67,,,,,32.3,32.3,10,3.4,,,,,,,29.1
Golden,"Golden, CO","Golden, CO",,,,32.1,12/07/2018 18:00:00,,23.1,69.07,,,,,32.1,32.1,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,,30.3,12/07/2018 19:00:00,,21.3,68.86,,,,,30.3,30.3,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,,30.3,12/07/2018 20:00:00,,23.1,74.28,,,,,30.3,30.3,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",260,,,28.5,12/07/2018 21:00:00,,21.3,74.1,,,,,28.5,28.5,10,4.7,,,,,,,23.3
Golden,"Golden, CO","Golden, CO",,,,26.7,12/07/2018 22:00:00,,19.5,73.91,,,,,26.7,26.7,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",210,,,28.5,12/07/2018 23:00:00,,19.5,68.64,,,,,28.5,28.5,10,4.7,,,,,,,23.3
Golden,"Golden, CO","Golden, CO",,,,26.7,12/08/2018 00:00:00,,19.5,73.91,,,,,26.7,26.7,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",240,,,26.7,12/08/2018 01:00:00,,19.5,73.91,,,,,26.7,26.7,10,3.4,,,,,,,22.8
Golden,"Golden, CO","Golden, CO",,,,21.3,12/08/2018 02:00:00,,19.5,92.63,,,,,21.3,21.3,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",210,,,23.1,12/08/2018 03:00:00,,19.5,85.86,,,,,23.1,23.1,10,3.4,,,,,,,18.7
Golden,"Golden, CO","Golden, CO",170,,,23.1,12/08/2018 04:00:00,,19.5,85.86,,,,,23.1,23.1,10,3.4,,,,,,,18.7
Golden,"Golden, CO","Golden, CO",,,,23.1,12/08/2018 05:00:00,,19.5,85.86,,,,,23.1,23.1,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",215,,22.1,23.1,12/08/2018 06:00:00,,18.2,81.13,,,,,23.1,23.1,24.7,4.3,,,,,,,17.4
Golden,"Golden, CO","Golden, CO",234,,22.1,23.9,12/08/2018 07:00:00,,17.7,76.71,,,,,23.9,23.9,24.7,3.7,,,,,,,19.1
Golden,"Golden, CO","Golden, CO",,,,26.7,12/08/2018 08:00:00,,18.2,69.84,,,,,26.7,26.7,54.2,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,,32.1,12/08/2018 09:00:00,,19.5,59.31,,,,,32.1,32.1,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",130,,,37.5,12/08/2018 10:00:00,,19.5,47.84,,,,,37.5,37.5,10,3.4,,,,,,,35.1
Golden,"Golden, CO","Golden, CO",,,,41.1,12/08/2018 11:00:00,,19.5,41.58,,,,,41.1,41.1,10,,,,,,,,
