Location,Address,Resolved Address,Wind Direction,Latitude,Cloud Cover,Minimum Temperature,Date time,Precipitation,Dew Point,Relative Humidity,id,Precipitation Cover,Longitude,Info,Temperature,Maximum Temperature,Visibility,Wind Speed,Heat Index,Weather Type,Snow Depth,Sea Level Pressure,Name,Wind Gust,Wind Chill
Golden,"Golden, CO","Golden, CO",,,,32.1,12/01/2018 00:00:00,,32.1,100,,,,,32.1,32.1,5,,,Mist,,,,,
Golden,"Golden, CO","Golden, CO",,,,28.5,12/01/2018 01:00:00,,28.5,100,,,,,28.5,28.5,4,,,Mist,,,,,
Golden,"Golden, CO","Golden, CO",,,90,28.5,12/01/2018 02:00:00,,28.5,100,,,,,28.5,28.5,0.7,,,Mist,,,,,
Golden,"Golden, CO","Golden, CO",,,100,26.7,12/01/2018 03:00:00,,26.7,100,,,,,26.7,26.7,,,,Light Snow,,,,,
Golden,"Golden, CO","Golden, CO",120,,50,24.9,12/01/2018 04:00:00,,24.9,100,,,,,24.9,24.9,1.7,3.4,,Light Snow,,,,,20.7
Golden,"Golden, CO","Golden, CO",,,,23.1,12/01/2018 05:00:00,,23.1,100,,,,,23.1,23.1,1.5,,,Mist,,,,,
Golden,"Golden, CO","Golden, CO",,,22.1,28.4,12/01/2018 06:00:00,,28.4,100,,,,,28.4,28.4,10,,,Mist,,,,,
Golden,"Golden, CO","Golden, CO",310,,36.8,26.2,12/01/2018 07:00:00,,23.1,87.79,,,,,26.2,26.2,39.5,0.9,,,,,,,
Golden,"Golden, CO","Golden, CO",230,,36.8,30.3,12/01/2018 08:00:00,,25.4,81.69,,,,,30.3,30.3,39.5,3.7,,,,,,,26.4
Golden,"Golden, CO","Golden, CO",180,,,33.9,12/01/2018 09:00:00,,28.5,80.38,,,,,33.9,33.9,10,4.7,,,,,,,29.6
Golden,"Golden, CO","Golden, CO",90,,,39.3,12/01/2018 10:00:00,,30.3,69.9,,,,,39.3,39.3,10,4.7,,,,,,,35.9
Golden,"Golden, CO","Golden, CO",71,,,42,12/01/2018 11:00:00,,22.2,45.04,,,,,42,42,39.5,5.8,,,,,,,38.3
Golden,"Golden, CO","Golden, CO",100,,,46.5,12/01/2018 12:00:00,,21.3,36.52,,,,,46.5,46.5,10,5.8,,,,,,,43.6
Golden,"Golden, CO","Golden, CO",30,,36.8,44.7,12/01/2018 13:00:00,,20.8,38.32,,,,,44.7,44.7,39.5,8.4,,,,,,,40.1
Golden,"Golden, CO","Golden, CO",310,,50,42.9,12/01/2018 14:00:00,,10.5,26.2,,,,,42.9,42.9,10,9.2,,,,,,,37.6
Golden,"Golden, CO","Golden, CO",290,,,42.9,12/01/2018 15:00:00,,8.7,24.17,,,,,42.9,42.9,10,17.2,,,,,,,34.9
Golden,"Golden, CO","Golden, CO",270,,,41.1,12/01/2018 16:00:00,,6.9,23.88,,,,,41.1,41.1,10,8.1,,,,,,,35.9
Golden,"Golden, CO","Golden, CO",310,,,41.1,12/01/2018 17:00:00,,8.3,25.49,,,,,41.1,41.1,10,6.9,,,,,,,36.5
Golden,"Golden, CO","Golden, CO",320,,,37.5,12/01/2018 18:00:00,,5.1,25.32,,,,,37.5,37.5,10,3.4,,,,,,,35.1
Golden,"Golden, CO","Golden, CO",287,,66.2,35.7,12/01/2018 19:00:00,,6.4,28.87,,,,,35.7,35.7,24.7,8.6,,,,,,,29
Golden,"Golden, CO","Golden, CO",,,,35.7,12/01/2018 20:00:00,,5.1,27.18,,,,,35.7,35.7,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",120,,,32.1,12/01/2018 21:00:00,,12.3,43.38,,,,,32.1,32.1,10,3.4,,,,,,,28.9
Golden,"Golden, CO","Golden, CO",200,,,30.3,12/01/2018 22:00:00,,12.3,46.66,,,,,30.3,30.3,10,3.4,,,,,,,26.9
Golden,"Golden, CO","Golden, CO",230,,,32.1,12/01/2018 23:00:00,,10.5,40.05,,,,,32.1,32.1,10,3.4,,,,,,,28.9
Golden,"Golden, CO","Golden, CO",,,,30.3,12/02/2018 00:00:00,,8.7,39.74,,,,,30.3,30.3,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",260,,,32.1,12/02/2018 01:00:00,,5.1,31.38,,,,,32.1,32.1,10,5.8,,,,,,,26.5
Golden,"Golden, CO","Golden, CO",260,,,30.3,12/02/2018 02:00:00,,5.1,33.75,,,,,30.3,30.3,10,4.7,,,,,,,25.4
Golden,"Golden, CO","Golden, CO",,,,30.3,12/02/2018 03:00:00,,5.1,33.75,,,,,30.3,30.3,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,,24.9,12/02/2018 04:00:00,,8.7,49.62,,,,,24.9,24.9,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,,23.1,12/02/2018 05:00:00,,8.7,53.5,,,,,23.1,23.1,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",30,,,23.1,12/02/2018 06:00:00,,10.5,57.99,,,,,23.1,23.1,10,3.4,,,,,,,18.7
Golden,"Golden, CO","Golden, CO",,,22.1,20,12/02/2018 07:00:00,,12.8,73.2,,,,,20,20,24.7,,,,,,,,
Golden,"Golden, CO","Golden, CO",140,,,24.9,12/02/2018 08:00:00,,14.1,63.05,,,,,24.9,24.9,10,4.7,,,,,,,19
Golden,"Golden, CO","Golden, CO",,,,30.3,12/02/2018 09:00:00,,10.5,43.07,,,,,30.3,30.3,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",150,,,33.9,12/02/2018 10:00:00,,10.5,37.26,,,,,33.9,33.9,10,6.9,,,,,,,27.8
Golden,"Golden, CO","Golden, CO",180,,,35.7,12/02/2018 11:00:00,,6.9,29.5,,,,,35.7,35.7,10,3.4,,,,,,,33
Golden,"Golden, CO","Golden, CO",120,,,35.7,12/02/2018 12:00:00,,8.7,32,,,,,35.7,35.7,10,4.7,,,,,,,31.7
Golden,"Golden, CO","Golden, CO",120,,,37.5,12/02/2018 13:00:00,,10.5,32.31,,,,,37.5,37.5,10,6.9,,,,,,,32.2
Golden,"Golden, CO","Golden, CO",110,,,35.7,12/02/2018 14:00:00,,10.5,34.69,,,,,35.7,35.7,10,5.8,,,,,,,30.8
Golden,"Golden, CO","Golden, CO",,,50,33.9,12/02/2018 15:00:00,,10.5,37.26,,,,,33.9,33.9,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",60,,100,32.1,12/02/2018 16:00:00,,10.5,40.05,,,,,32.1,32.1,10,4.7,,,,,,,27.5
Golden,"Golden, CO","Golden, CO",,,50,30.8,12/02/2018 17:00:00,,11.9,44.92,,,,,30.8,30.8,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",50,,100,32.1,12/02/2018 18:00:00,,19.5,59.31,,,,,32.1,32.1,10,4.7,,,,,,,27.5
Golden,"Golden, CO","Golden, CO",50,,100,32.1,12/02/2018 19:00:00,,23.1,69.07,,,,,32.1,32.1,10,3.4,,,,,,,28.9
Golden,"Golden, CO","Golden, CO",60,,100,28.5,12/02/2018 20:00:00,,26.7,92.87,,,,,28.5,28.5,2,4.7,,Light Snow,,,,,23.3
Golden,"Golden, CO","Golden, CO",161,,100,28.5,12/02/2018 21:00:00,,22.7,78.7,,,,,28.5,28.5,9.2,5,,Light Snow,,,,,23
Golden,"Golden, CO","Golden, CO",139,,26.4,28.5,12/02/2018 22:00:00,,22.7,78.7,,,,,28.5,28.5,4.4,4.7,,Light Snow,,,,,23.3
Golden,"Golden, CO","Golden, CO",320,,100,26.7,12/02/2018 23:00:00,,26.7,100,,,,,26.7,26.7,2.5,3.4,,Light Snow,,,,,22.8
Golden,"Golden, CO","Golden, CO",50,,100,26.7,12/03/2018 00:00:00,,24.9,92.81,,,,,26.7,26.7,10,3.4,,"Rain, Light Rain",,,,,22.8
Golden,"Golden, CO","Golden, CO",,,100,26.7,12/03/2018 01:00:00,,24.9,92.81,,,,,26.7,26.7,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,100,26.7,12/03/2018 02:00:00,,23.1,86.08,,,,,26.7,26.7,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,100,26.7,12/03/2018 03:00:00,,23.1,86.08,,,,,26.7,26.7,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,100,26.7,12/03/2018 04:00:00,,24.9,92.81,,,,,26.7,26.7,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",350,,100,21.3,12/03/2018 05:00:00,,21.3,100,,,,,21.3,21.3,10,3.4,,,,,,,16.6
Golden,"Golden, CO","Golden, CO",,,100,23.1,12/03/2018 06:00:00,,19.5,85.86,,,,,23.1,23.1,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,100,24.9,12/03/2018 07:00:00,,21.8,87.72,,,,,24.9,24.9,11.5,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,100,26.7,12/03/2018 08:00:00,,23.1,86.08,,,,,26.7,26.7,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,100,28.5,12/03/2018 09:00:00,,23.1,79.94,,,,,28.5,28.5,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,100,28.5,12/03/2018 10:00:00,,23.1,79.94,,,,,28.5,28.5,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,100,32.1,12/03/2018 11:00:00,,23.1,69.07,,,,,32.1,32.1,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",140,,90,32.1,12/03/2018 12:00:00,,19.5,59.31,,,,,32.1,32.1,10,5.8,,,,,,,26.5
Golden,"Golden, CO","Golden, CO",150,,50,32.1,12/03/2018 13:00:00,,19.5,59.31,,,,,32.1,32.1,10,3.4,,,,,,,28.9
Golden,"Golden, CO","Golden, CO",130,,100,33.9,12/03/2018 14:00:00,,19.5,55.17,,,,,33.9,33.9,10,3.4,,,,,,,31
Golden,"Golden, CO","Golden, CO",,,50,32.1,12/03/2018 15:00:00,,19.5,59.31,,,,,32.1,32.1,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,90,32.1,12/03/2018 16:00:00,,21.3,64.02,,,,,32.1,32.1,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",300,,90,28.5,12/03/2018 17:00:00,,21.3,74.1,,,,,28.5,28.5,15,6.9,,,,,,,21.3
Golden,"Golden, CO","Golden, CO",310,,90,30.3,12/03/2018 18:00:00,,21.3,68.86,,,,,30.3,30.3,10,3.4,,,,,,,26.9
Golden,"Golden, CO","Golden, CO",270,,100,30.3,12/03/2018 19:00:00,,21.3,68.86,,,,,30.3,30.3,10,3.4,,,,,,,26.9
Golden,"Golden, CO","Golden, CO",,,50,28.5,12/03/2018 20:00:00,,21.3,74.1,,,,,28.5,28.5,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,90,26.7,12/03/2018 21:00:00,,21.3,79.79,,,,,26.7,26.7,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",320,,63.2,25.8,12/03/2018 22:00:00,,22.6,87.4,,,,,25.8,25.8,10,0.9,,,,,,,
Golden,"Golden, CO","Golden, CO",300,,100,28.5,12/03/2018 23:00:00,,23.1,79.94,,,,,28.5,28.5,10,3.4,,,,,,,24.8
Golden,"Golden, CO","Golden, CO",,,50,26.7,12/04/2018 00:00:00,,17.7,68.42,,,,,26.7,26.7,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",200,,,23.1,12/04/2018 01:00:00,,14.1,67.98,,,,,23.1,23.1,10,4.7,,,,,,,16.9
Golden,"Golden, CO","Golden, CO",330,,,19.5,12/04/2018 02:00:00,,12.3,73.15,,,,,19.5,19.5,10,3.4,,,,,,,14.6
Golden,"Golden, CO","Golden, CO",,,,21.3,12/04/2018 03:00:00,,17.7,85.75,,,,,21.3,21.3,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,,24.9,12/04/2018 04:00:00,,8.7,49.62,,,,,24.9,24.9,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",320,,,28.5,12/04/2018 05:00:00,,1.5,30.76,,,,,28.5,28.5,10,13.9,,,,,,,17.5
Golden,"Golden, CO","Golden, CO",130,,,28.5,12/04/2018 06:00:00,,-2.1,25.98,,,,,28.5,28.5,10,6.9,,,,,,,21.3
Golden,"Golden, CO","Golden, CO",30,,,26.7,12/04/2018 07:00:00,,-0.3,30.45,,,,,26.7,26.7,10,3.4,,,,,,,22.8
Golden,"Golden, CO","Golden, CO",10,,,30.3,12/04/2018 08:00:00,,1.5,28.59,,,,,30.3,30.3,10,5.8,,,,,,,24.3
Golden,"Golden, CO","Golden, CO",,,,32.1,12/04/2018 09:00:00,,6.9,34.07,,,,,32.1,32.1,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",110,,,33.9,12/04/2018 10:00:00,,-0.3,22.73,,,,,33.9,33.9,10,3.4,,,,,,,31
Golden,"Golden, CO","Golden, CO",120,,,35.7,12/04/2018 11:00:00,,-0.3,21.16,,,,,35.7,35.7,10,3.4,,,,,,,33
Golden,"Golden, CO","Golden, CO",290,,,37.5,12/04/2018 12:00:00,,-3.9,16.62,,,,,37.5,37.5,10,12.8,,,,,,,29.4
Golden,"Golden, CO","Golden, CO",330,,,37.5,12/04/2018 13:00:00,,-0.3,19.71,,,,,37.5,37.5,10,10.3,,,,,,,30.4
Golden,"Golden, CO","Golden, CO",80,,,37.5,12/04/2018 14:00:00,,-3.9,16.62,,,,,37.5,37.5,10,4.7,,,,,,,33.8
Golden,"Golden, CO","Golden, CO",281,,22.1,37.5,12/04/2018 15:00:00,,-3.9,16.62,,,,,37.5,37.5,39.5,15.1,,,,,,,28.6
Golden,"Golden, CO","Golden, CO",277,,,37,12/04/2018 16:00:00,,-5.2,15.89,,,,,37,37,39.5,13.2,,,,,,,28.6
Golden,"Golden, CO","Golden, CO",270,,,32.1,12/04/2018 17:00:00,,-5.7,18.9,,,,,32.1,32.1,50,17.2,,,,,,,20.9
Golden,"Golden, CO","Golden, CO",264,,,30.8,12/04/2018 18:00:00,,-7,18.7,,,,,30.8,30.8,39.5,4.3,,,,,,,26.3
Golden,"Golden, CO","Golden, CO",250,,,30.8,12/04/2018 19:00:00,,-5.7,19.93,,,,,30.8,30.8,39.5,1.8,,,,,,,
Golden,"Golden, CO","Golden, CO",240,,,29.9,12/04/2018 20:00:00,,-6.2,20.17,,,,,29.9,29.9,39.5,2.4,,,,,,,
Golden,"Golden, CO","Golden, CO",280,,,29.9,12/04/2018 21:00:00,,-8.8,17.73,,,,,29.9,29.9,24.7,5.8,,,,,,,23.9
Golden,"Golden, CO","Golden, CO",250,,,30.8,12/04/2018 22:00:00,,-9.3,16.73,,,,,30.8,30.8,24.7,4,,,,,,,26.6
Golden,"Golden, CO","Golden, CO",30,,,24.9,12/04/2018 23:00:00,,1.5,35.69,,,,,24.9,24.9,10,3.4,,,,,,,20.7
Golden,"Golden, CO","Golden, CO",,,,23.1,12/05/2018 00:00:00,,-0.3,35.38,,,,,23.1,23.1,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,,23.1,12/05/2018 01:00:00,,5.1,45.44,,,,,23.1,23.1,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,,21.3,12/05/2018 02:00:00,,6.9,53.21,,,,,21.3,21.3,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",190,,,19.5,12/05/2018 03:00:00,,5.1,52.92,,,,,19.5,19.5,10,3.4,,,,,,,14.6
Golden,"Golden, CO","Golden, CO",260,,,19.5,12/05/2018 04:00:00,,8.7,62.3,,,,,19.5,19.5,10,3.4,,,,,,,14.6
Golden,"Golden, CO","Golden, CO",160,,,19.5,12/05/2018 05:00:00,,6.9,57.44,,,,,19.5,19.5,10,3.4,,,,,,,14.6
Golden,"Golden, CO","Golden, CO",,,50,21.3,12/05/2018 06:00:00,,8.7,57.71,,,,,21.3,21.3,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,,21.3,12/05/2018 07:00:00,,5.1,49.02,,,,,21.3,21.3,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,,26.7,12/05/2018 08:00:00,,6.9,42.46,,,,,26.7,26.7,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",,,50,32.1,12/05/2018 09:00:00,,6.9,34.07,,,,,32.1,32.1,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",20,,,35.7,12/05/2018 10:00:00,,3.3,25.02,,,,,35.7,35.7,10,3.4,,,,,,,33
Golden,"Golden, CO","Golden, CO",150,,66.2,41.5,12/05/2018 11:00:00,,5.2,21.79,,,,,41.5,41.5,24.7,5.1,,,,,,,38.1
Golden,"Golden, CO","Golden, CO",,,,42.9,12/05/2018 12:00:00,,10.5,26.2,,,,,42.9,42.9,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",20,,,46.5,12/05/2018 13:00:00,,12.3,24.74,,,,,46.5,46.5,10,6.9,,,,,,,43
Golden,"Golden, CO","Golden, CO",60,,90,50.1,12/05/2018 14:00:00,,8.7,18.42,,,,,50.1,50.1,30,10.3,,,,,,,
Golden,"Golden, CO","Golden, CO",40,,,42.9,12/05/2018 15:00:00,,10.5,26.2,,,,,42.9,42.9,10,6.9,,,,,,,38.7
Golden,"Golden, CO","Golden, CO",107,,79.4,39.7,12/05/2018 16:00:00,,4.7,22.86,,,,,39.7,39.7,24.7,9.6,,,,,,,33.4
Golden,"Golden, CO","Golden, CO",,,,36.8,12/05/2018 17:00:00,,-0.1,20.45,,,,,36.8,36.8,10,,,,,,,,
Golden,"Golden, CO","Golden, CO",271,,90,32.1,12/05/2018 18:00:00,,5.8,32.37,,,,,32.1,32.1,39.5,6.9,,,,,,,25.7
Golden,"Golden, CO","Golden, CO",,,90,30.3,12/05/2018 19:00:00,,19.5,63.78,,,,,30.3,30.3,10,,,,,,,,
